task_id,agent_pool,reviewer_pool,batch,concurrency_group,start_condition,branch_name
DOC-01,doc_control_lead,explorer_doc,batch-0,doc,none,feat/doc-01-establish-canonical-docs-entrypoints-and-source-of
DOC-02,doc_control_a,explorer_doc,batch-0,doc,DOC-01,codex/feat/doc-02-archive-stale-planning-and-historical-run-artifact
DOC-03,doc_control_b,explorer_doc,batch-0,doc,DOC-01,feat/doc-03-normalize-status-board-and-merged-baseline-history
DOC-04,doc_control_a,explorer_doc,batch-0,doc,DOC-01,feat/doc-04-add-doc-freshness-metadata-and-registry
DOC-05,doc_control_ci,explorer_doc,batch-0,doc,DOC-04,feat/doc-05-add-doc-consistency-checker-and-ci-gate
DOC-06,doc_control_lead,explorer_doc,batch-0,doc,DOC-01,codex/feat/doc-06-expand-agent-ownership-map-for-target-runtime-boun
ARC-01,runtime_a,explorer_arc,batch-1,arc,DOC-06,feat/arc-01-extract-simulation-session-and-turn-loop-orchestra
ARC-02,runtime_b,explorer_arc,batch-1,arc,ARC-01,feat/arc-02-extract-turn-declaration-validation-and-legal-acti
ARC-03,runtime_c,explorer_arc,batch-1,arc,ARC-01,feat/arc-03-extract-movement-routing-and-spatial-legality-serv
ARC-04,runtime_d,explorer_arc,batch-1,arc,ARC-02;ARC-03,feat/arc-04-extract-action-resolution-pipeline
ARC-05,runtime_e,explorer_arc,batch-1,arc,ARC-04,feat/arc-05-extract-effect-lifecycle-condition-state-and-conce
ARC-06,runtime_f,explorer_arc,batch-1,arc,ARC-04;ARC-05,feat/arc-06-extract-reactions-interrupts-and-ready-action-wind
ARC-07,runtime_spell,explorer_arc,batch-1,arc,ARC-02;ARC-04;ARC-05,feat/arc-07-extract-spell-execution-pipeline-and-target-resolu
ARC-08,runtime_report,explorer_arc,batch-1,arc,ARC-01;ARC-04,feat/arc-08-extract-replay-reporting-adapter-layer-and-reduce
CAP-01,content_manifest_lead,explorer_cap,batch-2,cap,DOC-01,feat/cap-01-define-capability-manifest-schema-storage-format-a
CAP-02,content_manifest_spell,explorer_cap,batch-2,cap,CAP-01;ARC-07,feat/cap-02-generate-spell-capability-manifest-from-canonical
CAP-03,content_manifest_feat,explorer_cap,batch-2,cap,CAP-01;ARC-05,feat/cap-03-generate-feat-trait-background-and-species-capabil
CAP-04,content_manifest_monster,explorer_cap,batch-2,cap,CAP-01;ARC-04,feat/cap-04-generate-monster-and-monster-action-capability-man
CAP-05,content_manifest_gate,explorer_cap,batch-2,cap,CAP-02;CAP-03;CAP-04;DOC-05,feat/cap-05-enforce-capability-manifest-gates-in-import-paths
CAP-06,content_manifest_report,explorer_cap,batch-2,cap,CAP-05,feat/cap-06-publish-machine-readable-and-markdown-coverage-rep
OBS-01,observability_a,explorer_obs,batch-2,obs,DOC-01,feat/obs-01-introduce-structured-event-schema-and-module-level
OBS-02,observability_b,explorer_obs,batch-2,obs,OBS-01;ARC-04,feat/obs-02-emit-turn-declaration-and-action-resolution-traces
OBS-03,observability_c,explorer_obs,batch-2,obs,OBS-01;ARC-05,feat/obs-03-emit-actor-state-delta-and-effect-lifecycle-traces
OBS-04,observability_ai,explorer_obs,batch-2,obs,AI-01;OBS-02,feat/obs-04-emit-ai-candidate-scoring-and-rationale-traces
OBS-05,observability_d,explorer_obs,batch-2,obs,OBS-01;ARC-05,feat/obs-05-emit-resource-delta-rng-audit-and-invariant-violat
OBS-06,observability_replay,explorer_obs,batch-2,obs,OBS-02;OBS-03;OBS-05;ARC-08,feat/obs-06-build-replay-bundle-writer-loader-and-diff-harness
OBS-07,observability_gate,explorer_obs,batch-2,obs,OBS-06;DOC-05,feat/obs-07-establish-golden-trace-corpus-and-trace-review-gat
DBS-01,persistence_a,explorer_dbs,batch-3,dbs,CAP-01,feat/dbs-01-add-canonical-metadata-tables-for-content-and-supp
DBS-02,persistence_b,explorer_dbs,batch-3,dbs,DBS-01,feat/dbs-02-add-schema-version-source-lineage-and-content-hash
DBS-03,persistence_c,explorer_dbs,batch-3,dbs,DBS-02;CAP-05,feat/dbs-03-add-query-apis-and-cli-for-support-coverage-schema
DBS-04,persistence_campaign,explorer_dbs,batch-3,dbs,DBS-01;ARC-08,feat/dbs-04-add-campaign-state-persistence-schema-and-round-tr
DBS-05,persistence_world,explorer_dbs,batch-3,dbs,DBS-04,feat/dbs-05-add-world-flags-objectives-factions-and-encounter
DBS-06,persistence_migration,explorer_dbs,batch-3,dbs,DBS-02;DBS-04;DBS-05,feat/dbs-06-migrate-existing-json-blob-content-to-the-canonica
AI-01,ai_core,explorer_ai,batch-3,ai,ARC-02;ARC-03;ARC-04,feat/ai-01-normalize-candidate-action-enumeration-and-scoring
AI-02,ai_spatial,explorer_ai,batch-3,ai,AI-01;ARC-03,feat/ai-02-implement-hazard-geometry-cover-and-line-of-effect
AI-03,ai_control,explorer_ai,batch-3,ai,AI-01;ARC-05,feat/ai-03-implement-concentration-breaking-control-value-and
AI-04,ai_objective,explorer_ai,batch-3,ai,AI-01,feat/ai-04-implement-retreat-survival-objective-race-and-focu
AI-05,ai_timing,explorer_ai,batch-3,ai,AI-01;ARC-06,feat/ai-05-implement-recharge-legendary-reaction-bait-and-lim
AI-06,ai_benchmark,explorer_ai,batch-3,ai,AI-02;AI-03;AI-04;AI-05;OBS-04;OBS-06,feat/ai-06-build-benchmark-corpus-tuning-thresholds-and-decis
FIX-01,rules_a,explorer_fix,batch-4,fix,ARC-05;ARC-06,feat/fix-01-close-lucky-attacker-defender-and-saving-throw-cor
FIX-02,rules_b,explorer_fix,batch-4,fix,ARC-04;AI-01,feat/fix-02-close-great-weapon-master-and-sharpshooter-toggle
FIX-03,rules_c,explorer_fix,batch-4,fix,ARC-06,feat/fix-03-close-shield-master-reaction-save-and-shove-correc
FIX-04,rules_d,explorer_fix,batch-4,fix,ARC-06;ARC-07,feat/fix-04-close-war-caster-opportunity-casting-and-concentra
FIX-05,rules_e,explorer_fix,batch-4,fix,ARC-06,feat/fix-05-close-mage-slayer-and-sentinel-reaction-constraint
FIX-06,rules_f,explorer_fix,batch-4,fix,ARC-05,feat/fix-06-close-rage-damage-resistance-and-illegal-state-edg
FIX-07,rules_gate,explorer_fix,batch-4,fix,AI-02;FIX-01;FIX-02;FIX-03;FIX-04;FIX-05;FIX-06,feat/fix-07-integrate-hazard-aware-strategy-scoring-and-close
WLD-01,world_rules_a,explorer_wld,batch-5,wld,ARC-02,feat/wld-01-build-ability-check-contest-passive-and-dc-resolut
WLD-02,world_rules_b,explorer_wld,batch-5,wld,WLD-01,feat/wld-02-build-skill-tool-proficiency-and-specialist-data-p
WLD-03,world_explore_a,explorer_wld,batch-5,wld,DBS-04,feat/wld-03-build-exploration-turn-structure-time-advancement
WLD-04,world_explore_b,explorer_wld,batch-5,wld,WLD-03;WLD-01,feat/wld-04-build-travel-pace-navigation-foraging-resting-and
WLD-05,world_hazards,explorer_wld,batch-5,wld,WLD-03,feat/wld-05-build-environmental-exposure-falling-suffocation-d
WLD-06,world_economy_a,explorer_wld,batch-5,wld,DBS-04,feat/wld-06-build-economy-loot-vendor-inventory-and-pricing-mo
WLD-07,world_economy_b,explorer_wld,batch-5,wld,WLD-06;WLD-02,feat/wld-07-build-crafting-downtime-encumbrance-and-service-ac
WLD-08,world_state_a,explorer_wld,batch-5,wld,DBS-05,feat/wld-08-build-quest-faction-reputation-and-world-flag-life
WLD-09,world_state_b,explorer_wld,batch-5,wld,WLD-03;DBS-04;DBS-05,feat/wld-09-build-multi-encounter-adventuring-day-persistence
WLD-10,world_script_a,explorer_wld,batch-5,wld,DBS-05;ARC-08;WLD-08,feat/wld-10-build-encounter-scripting-waves-objectives-and-map
WLD-11,world_schema_a,explorer_wld,batch-5,wld,CAP-05;DBS-06,feat/wld-11-hard-cut-schema-import-and-content-ids-across-all
WLD-12,world_perf_a,explorer_wld,batch-5,wld,OBS-06;WLD-09;WLD-10;WLD-11,feat/wld-12-build-performance-harness-regression-corpus-and-wo
FIN-01,integration_doc_gate,explorer_fin,batch-6,fin,DOC-02;DOC-03;DOC-05;DOC-06,feat/fin-01-enforce-program-doc-sync-gate-and-purge-stale-live
FIN-02,integration_content_gate,explorer_fin,batch-6,fin,CAP-06;FIX-07;WLD-11,feat/fin-02-enforce-full-capability-manifest-green-gate-for-sh
FIN-03,integration_replay_gate,explorer_fin,batch-6,fin,OBS-07;WLD-12,feat/fin-03-enforce-deterministic-replay-corpus-gate-across-co
FIN-04,integration_world_gate,explorer_fin,batch-6,fin,WLD-09;WLD-10;WLD-12;DBS-06,feat/fin-04-enforce-integrated-campaign-world-and-combat-scena
FIN-05,integration_agent_gate,explorer_fin,batch-6,fin,ARC-08;OBS-07;DOC-06;FIN-01,feat/fin-05-enforce-agent-only-maintenance-gate
FIN-06,release_lead,explorer_fin,batch-6,fin,FIN-02;FIN-03;FIN-04;FIN-05,feat/fin-06-cut-release-baseline-archive-prior-program-artifac
W8-AUD-01,program_control,explorer_doc,batch-7,w8aud,W7-GATE-03,codex/wave8-section2-stabilization
W8-PRT-01,portability_core,explorer_doc,batch-7,w8prt,W8-AUD-01,codex/wave8-section2-stabilization
W8-CRT-01,creator_boundary,explorer_doc,batch-7,w8crt,W8-PRT-01,codex/wave8-section2-stabilization
W8-ARC-01,runtime_report,explorer_fin,batch-7,w8arc,W8-AUD-01;W8-CRT-01,codex/wave8-section2-stabilization
W8-DAT-01,data_integrity,explorer_fin,batch-7,w8dat,W8-PRT-01;W8-CRT-01,codex/feat/w8-dat-01-persistence-and-public-content-failure-clar
W8-GATE-01,program_control,explorer_fin,batch-7,w8gate,W8-AUD-01;W8-PRT-01;W8-CRT-01;W8-ARC-01;W8-DAT-01,codex/feat/w8-gate-01-section-2-closeout
